title,url,address,city,location/lat,location/lng,neighborhood,phone,street,state,website,price,label,description (optional),imageUrl
Rumah Kos NABILA,https://www.google.com/maps/search/?api=1&query=Rumah%20Kos%20NABILA&query_place_id=ChIJX-fOZoP51y0RyEAC1qlY_pM,"Jl. Bronggalan Sawah VA No.4B, Pacar Kembang, Kec. Tambaksari, Surabaya, Jawa Timur 60132, Indonesia",Surabaya,-72.566.798,1.127.674.334,"Pacar Kembang, Kecamatan Tambaksari",+62 816-524-757,Jl. Bronggalan Sawah VA No.4B,Jawa Timur,,1.800.000,C,"AC
Kasur
Meja
TV
Meja Rias
Lemari / Storage
Kursi
KM Dalam",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0cFVOU1_OvDbxN2axLFbhXOp8qW6D5sjo55xX6CQaq-eD98s2U5qjXL-_PBl-PZISV7Y2c5Wly30sMoWfI5Vy6joSuy1DZk-mfPur1mWl8exZRyCsYAgEmRl5fw9RpWCqn7kT=w408-h306-k-no
Kost kosan indekost homeplaza surabaya,https://www.google.com/maps/search/?api=1&query=Kost%20kosan%20indekost%20homeplaza%20surabaya&query_place_id=ChIJrwPwukT51y0RvuakFXRp8J8,"Kota Jl. Ploso II No.22-A, RT.002/RW.05, Ploso, Kec. Tambaksari, Surabaya, Jawa Timur 60133, Indonesia",Surabaya,-72.513.865,1.127.658.613,"Ploso, Kecamatan Tambaksari",+62 812-3247-2720,"Kota Jl. Ploso II No.22-A, RT.002/RW.05",Jawa Timur,,800.000,C,"AC
Kasur
Meja
Lemari / Storage
Kursi
KM Luar",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFrEo4o2Xw3MnDJWr3diSSA9H4kXYQtqvfQrv0bqq4YP8WVb79t8oDtxi8Tffq-LcnBuEjnt0NWECN4ikqgeTJwGREWFLCUF48vdU1KePaDKF0ZZF308Y6UAsABLFzbSWM-AUI4=w493-h240-k-no
Kos PAW,https://www.google.com/maps/search/?api=1&query=Kos%20PAW&query_place_id=ChIJxX4Pd7L51y0RaW4TA2Y6tsc,"Putro Agung Wetan No.25, Rangkah, Kec. Tambaksari, Surabaya, Jawa Timur 60135, Indonesia",Surabaya,-7.248.312,1.127.685.125,"Rangkah, Kecamatan Tambaksari",,Putro Agung Wetan No.25,Jawa Timur,https://linktr.ee/griyaliving,2.500.000,C,"AC
Kasur
Meja
Lemari / Storage
Kursi
Dispenser
KM Dalam",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHCCU3jE2tewHvwGUGhUcBthC-CPRfytolvJMQtQdYROTnYJrZGiYkggTXj5hNvrmcVA5hbIjHpkWDQKhRpf13-Gv-Emo9m3_RLzZhKMHirZMoZilzgc3YmM6Jgiqb4hqeycAuqUWsrHsFV=w408-h544-k-no
Kost Bunda Grand New,https://www.google.com/maps/search/?api=1&query=Kost%20Bunda%20Grand%20New&query_place_id=ChIJ_8FTzLr51y0R4s0AP8K7qzY,"Jl. Pacar Keling IX No.6, Pacar Keling, Kec. Tambaksari, Surabaya, Jawa Timur 60131, Indonesia",Surabaya,-72.584.506,1.127.605.273,"Pacar Keling, Kecamatan Tambaksari",+62 813-3202-1435,Jl. Pacar Keling IX No.6,Jawa Timur,,500.00,C,"Kasur
Meja
Lemari / Storage
Kursi
KM Luar",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFc6oHKjokj7lZNsPMgojdAyrKhSMHrfGlvsHl9-G5RVlVwNgyFUxquwptvAbU3v5n8QE0d6CO6Ci5TrVHoxmNJgOTDINgpcpoc6OwxhHMLliSCdinSQT548vfcrPU9h2FTK1xw=w521-h240-k-no
Halto Kost Kali Kepiting Indah B9 Surabaya,https://www.google.com/maps/search/?api=1&query=Halto%20Kost%20Kali%20Kepiting%20Indah%20B9%20Surabaya&query_place_id=ChIJG5ZcmfH51y0RjOeT56T2VCA,"Perumahan Jl. Kalikepiting Indah No.B-9, Pacar Kembang, Kec. Tambaksari, Surabaya, Jawa Timur 60132, Indonesia",Surabaya,-72.620.214,1.127.668.383,"Pacar Kembang, Kecamatan Tambaksari",+62 821-4367-5551,Perumahan Jl. Kalikepiting Indah No.B-9,Jawa Timur,,1.300.000,L,"Air PDAM lancar, listrik token 2000W, meja kursi kerja, lemari. Fasilitas umum : parkir motor (no mobil), dapur, kompor gas, musholla, ruang tamu. Lokasi dekat FK Unair, RSUD dr Soetomo, RS Husada Utama dll.

Fasilitas Kamar
 Spring Bed
 Perabot
 Free WiFi
 AC
 Kamar Mandi Dalam

Fasilitas Bersama
 Ruang Tamu
 Ruang Makan
 Dapur
 Keamanan
 Parkir Motor

Fasilitas Sekitar
 Kampus
 Perkantoran
 Mall / Pusat Perbelanjaan
 Rumah Sakit
 Rumah Makan
 Minimarket",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFrhWUtAWrPJcRJzDtJo6gRr0eNkeyMbD37LyEZTJmVOWWyReC5VpfCrOc4lEpobf2o5NCPyuPVuGt8WHm32ivFoFrFx5hqpGwM_hMPUsnhw80rmZ7qSaeneKx6Mta96sIRW926pA=w408-h544-k-no
Kost Manunggal 188 (Kos Pria),https://www.google.com/maps/search/?api=1&query=Kost%20Manunggal%20188%20(Kos%20Pria)&query_place_id=ChIJdXO6kqn-1y0RN9Zvy8D3kkQ,"Jl. Simo Kalangan No.188 Blok K, Simomulyo, Kec. Sukomanunggal, Surabaya, Jawa Timur 60281, Indonesia",Surabaya,-72.674.209,1.127.084.641,"Simomulyo, Kecamatan Sukomanunggal",+62 852-4753-4603,Jl. Simo Kalangan No.188 Blok K,Jawa Timur,,1.500.000,L,"Fasilitas kamar

AC
Kasur
Meja
Lemari / Storage
Jendela
Cermin
Bantal
Kursi

Fasilitas umum

WiFi
R. Tamu
R. Jemur
Dapur
Jemuran
Pengurus Kos
CCTV

Fasilitas parkir
Parkir Motor
Parkir Sepeda
Parkir Motor & Sepeda",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTc7MT0JmantzIfRRTdU9Nphv6wRmBscP9AIbnRKZkVahstZTltLFC4ydTSFWnW6voLQOLxJSZhGvVn545D-TlPxudCgvP8j359tVJVmbPn_oRo34UaEwF0IuJCCRt7I6kN-iC=w408-h306-k-no
Kost Exclusive Manukan Telaga,https://www.google.com/maps/search/?api=1&query=Kost%20Exclusive%20Manukan%20Telaga&query_place_id=ChIJ3QAxoJD_1y0R6ikDifjVQgA,"Jl. Manukan Telaga No.15-19, Manukan Kulon, Kec. Tandes, Surabaya, Jawa Timur 60185, Indonesia",Surabaya,-72.604.499,1.126.694.948,"Manukan Kulon, Kecamatan Tandes",,Jl. Manukan Telaga No.15-19,Jawa Timur,,1.500.000,C,"Fasilitas lengkap :
• WiFi 100 MBPS (Free)
• AC 1PK
• Smart TV 32inci
• Bed
• Lemari pakaian
• Meja/Kursi
• Dapur mini 
• Kulkas
• Kamar Mandi Dalam
• Dilengkapi dengan CCTV 24 JAM
• Parkiran Luas 
• Akses 24 jam
• Lokasi strategis, Mudah di jangkau, dan bebas banjir, ",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGF_dpQ_aq7ToJXfQxZe13AdZ4XPjiQuuT1azODTqGr2bZH5OZl07jYgoNYg3-WvoQzp23s3eVE-IwCrlPgToS7ARMuTibqxn-3Mg8jZ3TceumqtjF_9En9ERuOLfA2AvK5eL0=w408-h544-k-no
KOS KOSAN PUTRA Pak Jaenal,https://www.google.com/maps/search/?api=1&query=KOS%20KOSAN%20PUTRA%20Pak%20Jaenal&query_place_id=ChIJpbEKMrj_1y0RYFPY5M21Y5g,"Jl. Bandarejo Tama No.38, Sememi, Kec. Benowo, Surabaya, Jawa Timur 60198, Indonesia",Surabaya,-7.252.777,1.126.471.469,"Sememi, Kecamatan Benowo",+62 813-3349-6529,Jl. Bandarejo Tama No.38,Jawa Timur,,550.000,L,"Fasilitas kamar
Kasur
Lemari / Storage
Jendela

Fasilitas kamar mandi
Kloset Jongkok
K. Mandi Luar
Shower

Fasilitas umum
Dapur
Pengurus Kos
Joglo
K. Mandi Luar

Fasilitas parkir
Parkir Motor
Parkir Sepeda",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kS7wE9vZZeiV5N18HFGZWA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=181.58035&pitch=0&thumbfov=100
KOST PUTRA SARNO,https://www.google.com/maps/search/?api=1&query=KOST%20PUTRA%20SARNO&query_place_id=ChIJY_UmZQD51y0Rz6_-kpGU54Y,"Jl. Asembagus 3 No.17, Tembok Dukuh, Kec. Bubutan, Surabaya, Jawa Timur 60173, Indonesia",Surabaya,-72.538.192,1.127.189.984,"Tembok Dukuh, Kecamatan Bubutan",+62 822-2557-2054,Jl. Asembagus 3 No.17,Jawa Timur,,600.000,C,"Tempat Jemuran Baju.
CCTV
Wifi
Sping Bet
Lemari
Meja,
Garasi Dalam Roda Dua R2",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFbL8Yc-Q5gkZGqwZZCioIeIT2YHEgRV7bdOak_GHfKWP7-NErqf_bGcF7LWoeY_4OuIwlFYFYzgKFjYjJxjqtxGyXMGrgqoIyYARcrCkdV-90eKClQ210FkMOrVxeqOvNwJg6oZjs-ZNf=w408-h244-k-no
Kost Putra Putri Aminah Djaya,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Putri%20Aminah%20Djaya&query_place_id=ChIJsfSWDgD_1y0RC5rWa2OCRUU,"Jl. Simo Pomahan Baru V No.33, Simomulyo, Kec. Sukomanunggal, Surabaya, Jawa Timur 60281, Indonesia",Surabaya,-72.620.675,1.127.064.474,"Simomulyo, Kecamatan Sukomanunggal",+62 856-0848-3245,Jl. Simo Pomahan Baru V No.33,Jawa Timur,,550.000,C,"Fasilitas
- Kasur, bantal
- Kipas
- Lemari
- Free wifi
- Dapur umum
- Kamar mandi luar
- Parkiran nyaman
- Akses jalan motor bisa dinaiki",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHUbX9swADCAChFkvJq7hNa2I0BPTJPIc4BO0oSEVIBxEuD95flAnwK2gnwS_V086Sku-TplgoclI5HsfsXqFQOpI09a50tfQCtsviHrSINZr6prCg2mywzjnVvXfBvNI_gAwBIfQ4pzLPz=w408-h906-k-no
Fanisa Kost Putra,https://www.google.com/maps/search/?api=1&query=Fanisa%20Kost%20Putra&query_place_id=ChIJ2zzwPsv71y0RWyjECulpd2A,"Perumahan PLN, Jl. Tidar No.14 Blok 157, Asem Rowo, Kec. Asem Rowo, Surabaya, Jawa Timur 60252, Indonesia",Surabaya,-72.550.185,1.127.138.103,"Asem Rowo, Kecamatan Asem Rowo",+62 822-5349-0002,"Perumahan PLN, Jl. Tidar No.14 Blok 157",Jawa Timur,,700.000,L,"1. menyediakan jasa tempat tinggal untuk per orang.
2. lingkungan yang tenang, bisa dibuat untuk istirahat.
3. Akses ke kos dapat dilalui mobil, motor, sepeda.
4. Parkiran kos dilengkapi dengan CCTV
5. Kos sudah tersedia kasur, Kipas / AC, Lemari, tinggal check in saja.
6. tersedia fasilitas WiFi",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH8zcFYI-KBP9aPtk2rwZ7rPcuqW-3mrIzWYVB5WSieVZ1iVoAC1LV_WJpze0YcrO4kGL9IyLmUlqmM_gxVm2RabTCT_lCHDYLdQJxG-JK802EYrfh9TrJzT7CTMMjwvY0Yoytg=w408-h577-k-no
Doctor Kost Putra Sby,https://www.google.com/maps/search/?api=1&query=Doctor%20Kost%20Putra%20Sby&query_place_id=ChIJIbrVVSv51y0R9nuAdmLrv6A,"Jl. Dharmahusada V No.1E, Pacar Kembang, Kec. Tambaksari, Surabaya, Jawa Timur 60132, Indonesia",Surabaya,-72.635.477,1.127.614.542,"Pacar Kembang, Kecamatan Tambaksari",,Jl. Dharmahusada V No.1E,Jawa Timur,,1.550.000,L,"Fasilitas kamar

AC
Kasur
Meja
Lemari / Storage
Ventilasi
Jendela
Guling
Cermin
Bantal
Kursi

Fasilitas kamar mandi

K. Mandi Dalam
Kloset Duduk
Ember mandi
Shower

Fasilitas umum
WiFi
Balcon

Fasilitas parkir
Parkir Motor & Sepeda",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNPmMNqUlgPtEgIz0rArytxigPVXXjlHtC3pyCDSsNxkwt9HCkgDcvcVB7z0F5Q0gsjkg-HHSmMaoj2QXmikxknfqYkWqTr3bBQoMm8KqZ7JVosf1q0C9NzjXWNl08OKApctmF=w408-h247-k-no
Kost Putra Sakinah - Dharmawangsa,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Sakinah%20-%20Dharmawangsa&query_place_id=ChIJ8ZogktX71y0RB9rI2Ihf7bk,"Jl. Dharmawangsa Lapangan No.28i, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",Surabaya,-72.668.633,1.127.553.556,"Airlangga, Kecamatan Gubeng",+62 813-7000-1946,Jl. Dharmawangsa Lapangan No.28i,Jawa Timur,,850.000,L,"Fasilitas kamar

Kasur
Meja
Lemari / Storage
Ventilasi
Jendela
Cermin
Bantal
Kipas Angin

Kloset Jongkok
Kloset Jongkok

Fasilitas Kamar Mandi
K. Mandi Luar
Ember mandi
Bak mandi

Catatan
Biaya tambahan 100.000 apabila membawa (Rice cooker, Setrika, Televisi, Laptop dan alat elektronik selain dari penyedia Kost)",
Kos Putri Anggun,https://www.google.com/maps/search/?api=1&query=Kos%20Putri%20Anggun&query_place_id=ChIJZVHpJ8771y0R5r_Z_UsN-nM,"Jl. Karang Wismo I No.3, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",Surabaya,-72.745.614,112.759.686,"Airlangga, Kecamatan Gubeng",,Jl. Karang Wismo I No.3,Jawa Timur,,800.000,P,"Spring bed sprei, lemari meja, km dalam,tv,wifi,free air listrik,dapur umum, parkir luas nyaman lingkungan luas aman",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7wAQKz_ZDGCEgiYPQ9pp0g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=73.975945&pitch=0&thumbfov=100
Kost Haselli,https://www.google.com/maps/search/?api=1&query=Kost%20Haselli&query_place_id=ChIJw7t-LAD71y0RCHdxDFxgWYw,"Gg. Baru Jl. Gubeng Masjid IV No.14, RT.005/RW.07, Pacar Keling, Tambaksari, Surabaya, East Java 60131, Indonesia",Surabaya,-726.782,112.753.474,"Pacar Keling, Kecamatan Tambaksari",+62 818-0202-1551,"Gg. Baru Jl. Gubeng Masjid IV No.14, RT.005/RW.07",Jawa Timur,,700.000,C,"Fasilitas kamar

Kasur
Lemari / Storage
Ventilasi
Bantal
Kipas Angin
Cleaning service

Fasilitas kamar mandi

Kloset Jongkok
K. Mandi Luar
Wastafel
Ember mandi
Bak mandi

Fasilitas umum

R. Tamu
Penjaga Kos
R. Jemur
Dispenser
Dapur
Jemuran
Pengurus Kos
K. Mandi Luar

Informasi kos:
Parkir motor dan sepeda
> 5 orang/ kamar
Ada jam malam untuk tamu
Akses 24 Jam
Boleh pasutri
Denda kerusakan barang kos",
Kost Lovina,https://www.google.com/maps/search/?api=1&query=Kost%20Lovina&query_place_id=ChIJjZsSGAD51y0RXUDhPiQwKBg,"Jl. Putro Agung II No.14, Rangkah, Kec. Tambaksari, Surabaya, Jawa Timur 60135, Indonesia",Surabaya,-72.494.523,1.127.665.518,"Rangkah, Kecamatan Tambaksari",,Jl. Putro Agung II No.14,Jawa Timur,,1.000.000,P,"Fasilitas kamar

AC
Kasur
Meja
Lemari / Storage
Jendela
Bantal

Fasilitas kamar mandi
Kloset Duduk
K. Mandi Luar
Shower

Fasilitas umum
WiFi
R. Cuci
Kulkas
R. Tamu
R. Jemur
R. Makan
R. Santai
Dapur
Jemuran
R. Keluarga",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZlZ2534N3V-Rw15GCYo-cw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=192.5999&pitch=0&thumbfov=100
Kost Putra Surabaya dekat Unair-ITS-Galaxy Mall Mulyorejo,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Surabaya%20dekat%20Unair-ITS-Galaxy%20Mall%20Mulyorejo&query_place_id=ChIJyZR7I9n71y0RnxNsGlgPTP8,"Jl. Mulyorejo Selatan Baru No.8A, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",Surabaya,-72.781.395,1.127.743.682,"Mulyorejo, Kecamatan Mulyorejo",+62 895-1759-1342,Jl. Mulyorejo Selatan Baru No.8A,Jawa Timur,https://mamikos.com/room/kost-surabaya-kost-putra-murah-kost-pak-josa-unair-its-pens-galaxy-mall-mulyorejo-surabaya#/,1.000.000,L,"Fasilitas kamar

Meja
Lemari / Storage
Bantal
Kipas Angin

Fasilitas kamar mandi
K. Mandi Dalam
Kloset Duduk
Ember mandi

Catatan:
Akses mudah untuk tempat makan, jalan bisa dilalui mobil, tidak banjir

Keterangan biaya lainnya Harga sudah termasuk listrik dan air PDAM, WIFI",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF70RjKr2vUvVtsQA_-whrsjbrpvjx5OAMTV7AUA-pd5Dxx-E0dHNRSEH04LwKkpZgk-8Q9WILd-aVJgjP6TldAjKUCxiGwRk54Hphj8DsOTqutF5da2Xgt1OqODO4MJUoQ-pPz=w480-h240-k-no
Cewekos,https://www.google.com/maps/search/?api=1&query=Cewekos&query_place_id=ChIJA6fAryj71y0RM1H9cQVziLE,"Jl. Kedondong Lor I Jl. Kedondong No.16, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271, Indonesia",Surabaya,-72.694.819,112.739.034,"Embong Kaliasin, Kecamatan Genteng",+62 822-3366-0079,Jl. Kedondong Lor I Jl. Kedondong No.16,Jawa Timur,,1.650.000,P,"Fasilitas kamar
AC
Kasur
Meja
Meja Rias
Lemari / Storage
Jendela
Cermin
Bantal
Kursi

Fasilitas kamar mandi
Kloset Duduk
K. Mandi Luar
Wastafel
Shower

Catatan:
keamanan terjamin karena gerbang pemukiman di gembok pukul 22.00

Keterangan biaya lainnya deposit 1.5jt dan 1 bulan harga sewa kamar 1.65jt jadi total 3.15jt bayar di depan. deposit akan kami kembalikan setelah penyewa tidak lagi menempati kamar yang di sewa",https://lh3.googleusercontent.com/gps-cs-s/APNQkAECUAcE_02dse--jVm3CejsFUI72Hs2Ysa5cvWYlIeJijxN9zzCVdJJhHHDVIFkhSL5Q3KL067-210EAj2aYidG3of0t45-JY8e4ygn07SvJE-qbFOh7nXlY6L1RZupYj9L7JYJnw=w493-h240-k-no
Kos Kartiko 9,https://www.google.com/maps/search/?api=1&query=Kos%20Kartiko%209&query_place_id=ChIJNT9MOQD51y0RtHJsS3yxegA,"Embong Kartiko No.9, Peneleh, Kec. Genteng, Surabaya, Jawa Timur 60274, Indonesia",Surabaya,-72.515.128,1.127.428.886,"Peneleh, Kecamatan Genteng",+62 822-3344-1979,Embong Kartiko No.9,Jawa Timur,,1.300.000,P,"Fasilitas kamar
AC
Kasur
Meja
Meja Rias
Lemari / Storage
Ventilasi
Jendela
Cermin
Bantal
Wastafel

Fasilitas kamar mandi
K. Mandi Dalam
Kloset Duduk
Wastafel
Shower

Fasilitas parkir
Parkir Motor
Parkir Sepeda
Parkir Motor & Sepeda",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGjckE3V_ftZq8bSsD0O1WV_LqbHE5CP0IrhINnvmM45nv4b-NzOekOcy1wqYy33bkT5pVSHc5l_QMTftYG9IHEtAjduG7YyB8aBWejfA_ShVVTCh-whSzXwwq85OnEnFUYH8tR=w408-h272-k-no
Hidden Kos,https://www.google.com/maps/search/?api=1&query=Hidden%20Kos&query_place_id=ChIJjwXE0oD51y0RN3So8nNIVEA,"Jl karanggayam Wetan I No.33, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60881, Indonesia",Surabaya,-72.639.606,1.127.666.232,"Mojo, Kecamatan Gubeng",+62 858-1607-5724,Jl karanggayam Wetan I No.33,Jawa Timur,https://mamikos.com/room/kost-surabaya-kost-campur-eksklusif-kost-hidden-tipe-a-gubeng-surabaya-2?redirection_source=Nama%20Kos%20Terkait,1.650.000,C,"Fasilitas kamar Tidur (2.5 x 3.5 meter) 
1. Ac
2. Kasur
3. Dispenser
4. Meja
5. Lemari
Fasilitas Kamar Mandi
1. Kamar mandi dalam
2. Kloset jongkok
3. Shower
4. Bak Mandi",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF8k76Pgmlc8Lldan4e8jbC5sbo-l0q1XjXzeEK2f7UaYal41CYZFWEBmlHNZup7IAre2a7npEUWqCFK9l4DLLeTFhVmc0ppASeSXtbGPPK3DazF8Vs3sugXuFP4GpYa_EAglo2nZji47wf=w426-h240-k-no
KOS PUTRI 79D SYARIAH,https://www.google.com/maps/search/?api=1&query=KOS%20PUTRI%2079D%20SYARIAH&query_place_id=ChIJLzP8SAD71y0R8LyzNGnwQEI,"Jl. Manyar Sambongan No.79D, RT.5/RW.3, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",Surabaya,-7.280.676,112.759.575,"Kertajaya, Kecamatan Gubeng",+62 851-0006-2969,"Jl. Manyar Sambongan No.79D, RT.5/RW.3",Jawa Timur,https://mamikos.com/room/kost-surabaya-kost-putri-murah-kost-79d-syariah-tipe-a-gubeng-surabaya,750.000,P,"Fasilitas kamar Tidur (3 x 3 meter) 
1. Jendela
2. Kasur
3. Ventilasi
4. Meja
5. Lemari
Fasilitas Kamar Mandi
1. Kamar mandi dalam
2. Kloset jongkok
3. Bak Mandi",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH0FfQNAGHbDS3agkpwD1iM0YG_soMP37_ciKDAnihjj2GpN4gytCAtWHYkw6D33yFR-qXuoOH7qdk9YN5uDtNduug_Te1Ig8fnlCgjigWOK7jpmCddihSGRQxJCzxQ7glu_ezgmc0HyyN3=w408-h725-k-no
Kost Putri SURAYYA,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20SURAYYA&query_place_id=ChIJ6T3QY8P71y0RF6NyfsmDG0A,"Jl. Manyar Sambongan No.85-H, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",Surabaya,-7.280.708,1.127.599.491,"Kertajaya, Kecamatan Gubeng",+62 811-3111-099,Jl. Manyar Sambongan No.85-H,Jawa Timur,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-soraya-hasan-syihab-tipe-a-genteng-surabaya-2,1.375.000,P,"Fasilitas kamar Tidur (2.5 x 3.5 meter) 
1. Ac
2. Kasur
3. Jendela
4. Meja
5. Lemari
Fasilitas Kamar Mandi
1. Kamar mandi dalam
2. Kloset jongkok
3. Shower
4. Ember Mandi",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFrTmgQb-lw-5v6uFrziawSaH7Sj1dCN5UZTbOFAGXRaddBGSZc6O4wcMOeVmg3QWb_0CvVkZ_b0gfYWMcxIGxSceeIos6CBiZqRhHrLHkC4NhoOaVeyV5-TaZhZP2472MN5pdAsrJm2q_J=w408-h567-k-no
Kost Azalea,https://www.google.com/maps/search/?api=1&query=Kost%20Azalea&query_place_id=ChIJp5JpGgD71y0RddhaNTr864k,"Jl.Gub, Jl. Gubeng Kertajaya IX BT depan masjid muslimun No.15, RT.9/RW.5, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",Surabaya,-72.770.248,1.127.576.714,"Airlangga, Kecamatan Gubeng",,"Jl.Gub, Jl. Gubeng Kertajaya IX BT depan masjid muslimun No.15, RT.9/RW.5",Jawa Timur,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-azalea-gubeng-surabaya-2,750.000,P,"Spesifikasi tipe kamar

3 x 3 meter
Termasuk listrik

Fasilitas Kamar Tidur
1. Kasur
2. Meja
3. TV
4. Meja Rias
5. Lemari / Storage

Fasilitas kamar mandi
1. Kloset Duduk
2. Kloset Jongkok
3. K. Mandi Luar
4. Wastafel
5. Bak mandi",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wLsxafTdw_tblhf80pI3cQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=19.534708&pitch=0&thumbfov=100
Grand Gayatri,https://www.google.com/maps/search/?api=1&query=Grand%20Gayatri&query_place_id=ChIJPfffb2j51y0RbtyfmjQQ5hY,"Jl. Dharmahusada III No.11, RT.002/RW.01, Pacar Kembang, Kec. Tambaksari, Surabaya, Jawa Timur 60132, Indonesia",Surabaya,-72.650.533,1.127.618.816,"Pacar Kembang, Kecamatan Tambaksari",+62 812-3329-4664,"Jl. Dharmahusada III No.11, RT.002/RW.01",Jawa Timur,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-grand-gayatri-tambaksari-surabaya,1.800.000,P,"Spesifikasi tipe kamar

3 x 4 meter
Tidak Termasuk listrik

Fasilitas Kamar Tidur
1. Kasur
2. Meja
3. TV
4. AC
5. Lemari / Storage

Fasilitas kamar mandi
1. Kloset Duduk
2. Kloset Jongkok
3. K. Mandi Luar
4. Wastafel
5. Air panas",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHAu0OozyGf5MnJyBLh_Ly-pRGlkbWc2LpTpTHR4IAb0lhfGDBSf95FtAgMaeeNZcJ51S-3E1hSPiaaWW37Hmm97GQ3wOnYoF6xXu_yw__D6LvIIc1pBHB-frwl4G8ctpX2VSEm5A=w408-h305-k-no
Sabana House Kost,https://www.google.com/maps/search/?api=1&query=Sabana%20House%20Kost&query_place_id=ChIJ3_xwM5H71y0RKhi9Udbfd4w,"Jl. Gubeng Kertajaya I Raya B No.4, Gubeng, Kec. Gubeng, Surabaya, Jawa Timur 60281, Indonesia",Surabaya,-7.276.329,112.751.264,"Gubeng, Kecamatan Gubeng",+62 857-0429-6896,Jl. Gubeng Kertajaya I Raya B No.4,Jawa Timur,https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-sabaya-house-vvip-gubeng-surabaya-2,2.900.000,C,"Spesifikasi tipe kamar

3 x 5 meter
Tidak Termasuk listrik

Fasilitas Kamar Tidur
1. Kasur
2. Meja dan Kursi
3. TV
4. AC
5. Lemari / Storage

Fasilitas kamar mandi
1. Kloset Duduk
2. Shower",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEsnvJIPqBjvge9pY9qO64P_LKi9Md-eSbV0xdrmWKzdnC0zPjfhLP0sjfEna7UV65LPxNqitJCgxYRcOQ-sRNm871KfSExndADO2k9f-nfGa31IZtEBlsN4yO5cGA6TF84FX2kwA=w408-h272-k-no
Kost Putri Sanusi,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Sanusi&query_place_id=ChIJVStlgX_51y0RdBBVcjadOYk,"Jl. Kedung Tarukan V No.79-E, Pacar Kembang, Kec. Tambaksari, Surabaya, Jawa Timur 60132, Indonesia",Surabaya,-7.263.551,1.127.625.469,"Pacar Kembang, Kecamatan Tambaksari",+62 896-1298-6784,Jl. Kedung Tarukan V No.79-E,Jawa Timur,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-ibu-sanusi-tambaksari-surabaya,600.000,P,"Fasilitas kamar Tidur (2.5 x 3.5 meter) 
1. Vantilasi
2. Kasur
3. Jendela
4. Meja
5. Lemari
Fasilitas Kamar Mandi
1. Kamar mandi luar
2. Kloset jongkok
3. Shower
4. Ember Mandi",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFSBpGqBV_1oCtNW7UIfg1M6UgnblrKw36DssRLIp-kXH5zL8YYcRyJxJklHnp5uOKBMt4n48N8OXrtCJIT6HIBd-zFfZKFcFduTHDMxCN1tCjaTe4eyrTCnt1OYgB_SQvuJ2hG=w408-h806-k-no
